section|subsection|polity_name|polity_new_ID|polity_old_ID|variable_name|value_from|value_to|year_from|year_to|confidence|is_disputed|is_uncertain|expert_checked
General Variables|Identity and Location|Kansai - Yayoi Period|jp_yayoi|JpYayoi|alternative_name|Yayoi Period in Kinki region||||Confident|False|False|True
General Variables|Identity and Location|Kansai - Yayoi Period|jp_yayoi|JpYayoi|alternative_name|Yayoi Period in Kinai region||||Confident|False|False|True
General Variables|Identity and Location|Kara-Khanids|kg_kara_khanid_dyn|KgKarKh|alternative_name|Karakhanids||||Confident|False|False|True
General Variables|Identity and Location|Classical Angkor|kh_angkor_2|KhAngkC|alternative_name|Kambudesa||||Confident|False|False|True
General Variables|Identity and Location|Classical Angkor|kh_angkor_2|KhAngkC|alternative_name|Khmer||||Confident|False|False|True
General Variables|Identity and Location|Classical Angkor|kh_angkor_2|KhAngkC|alternative_name|Khmer Kingdom||||Confident|False|False|True
General Variables|Identity and Location|Classical Angkor|kh_angkor_2|KhAngkC|alternative_name|Angkor Period||||Confident|False|False|True
General Variables|Identity and Location|Classical Angkor|kh_angkor_2|KhAngkC|alternative_name|Kambuja-desa||||Confident|False|False|True
General Variables|Identity and Location|Classical Angkor|kh_angkor_2|KhAngkC|alternative_name|Kambudesa||||Confident|False|False|True
General Variables|Identity and Location|Classical Angkor|kh_angkor_2|KhAngkC|alternative_name|Kambuja||||Confident|False|False|True
General Variables|Identity and Location|Early Angkor|kh_angkor_1|KhAngkE|alternative_name|Kambudesa||||Confident|False|False|True
General Variables|Identity and Location|Early Angkor|kh_angkor_1|KhAngkE|alternative_name|Khmer||||Confident|False|False|True
General Variables|Identity and Location|Early Angkor|kh_angkor_1|KhAngkE|alternative_name|Khmer Kingdom||||Confident|False|False|True
General Variables|Identity and Location|Early Angkor|kh_angkor_1|KhAngkE|alternative_name|Angkor Period||||Confident|False|False|True
General Variables|Identity and Location|Early Angkor|kh_angkor_1|KhAngkE|alternative_name|Kambuja-desa||||Confident|False|False|True
